SWEETVIZ_TARGET,mean_temp
0.0,25.9
0.0,27.1
0.0,27.2
0.0,27.0
1.0,28.0
2.0,28.4
2.0,28.2
1.0,27.7
1.0,27.9
1.0,27.4
0.0,27.3
0.0,26.2
0.0,26.5
1.0,28.1
2.0,28.9
2.0,29.4
2.0,28.3
2.0,28.3
1.0,27.6
1.0,28.1
0.0,27.2
1.0,27.6
0.0,26.6
0.0,25.4
0.0,25.5
0.0,25.8
0.0,26.5
0.0,27.3
0.0,27.3
1.0,27.5
0.0,27.2
1.0,27.4
0.0,26.8
1.0,27.4
0.0,26.5
0.0,26.0
0.0,26.6
0.0,27.0
0.0,27.1
1.0,27.5
1.0,28.0
2.0,28.2
0.0,27.0
1.0,27.7
0.0,26.9
0.0,26.7
0.0,26.6
0.0,26.1
0.0,25.7
0.0,26.9
0.0,26.4
1.0,27.4
2.0,28.2
1.0,27.9
1.0,27.9
2.0,28.3
0.0,26.7
0.0,26.9
0.0,26.6
0.0,26.3
0.0,25.5
0.0,26.6
1.0,27.5
1.0,27.9
1.0,27.6
2.0,28.7
1.0,28.1
1.0,27.4
1.0,27.6
1.0,27.9
0.0,27.3
0.0,26.4
0.0,26.8
0.0,27.1
0.0,27.3
1.0,27.8
2.0,28.4
1.0,28.0
0.0,27.3
0.0,27.0
0.0,27.1
1.0,27.5
0.0,26.3
0.0,26.2
0.0,26.5
0.0,26.6
0.0,26.3
0.0,27.0
0.0,27.3
1.0,27.5
1.0,27.7
0.0,27.1
0.0,26.9
0.0,27.1
0.0,26.7
0.0,26.3
0.0,26.2
1.0,27.6
2.0,28.2
2.0,28.5
2.0,28.6
2.0,28.3
1.0,27.5
1.0,28.0
0.0,27.2
1.0,27.5
0.0,27.2
0.0,26.3
0.0,26.7
0.0,27.1
1.0,27.8
1.0,27.7
1.0,27.7
2.0,28.6
2.0,28.5
2.0,28.2
1.0,27.5
1.0,27.5
0.0,26.3
0.0,25.6
0.0,26.6
1.0,27.5
2.0,28.2
2.0,28.4
1.0,28.1
1.0,28.0
0.0,27.3
1.0,27.8
0.0,27.3
1.0,27.4
0.0,26.1
0.0,25.5
0.0,26.2
0.0,26.7
0.0,26.7
1.0,27.6
2.0,28.2
2.0,28.5
1.0,27.9
2.0,28.6
1.0,27.9
1.0,27.5
0.0,26.9
0.0,26.5
0.0,26.9
0.0,27.0
0.0,26.8
1.0,27.9
1.0,28.1
1.0,28.1
2.0,28.4
1.0,28.1
2.0,28.3
1.0,27.9
0.0,26.7
0.0,26.9
0.0,26.8
0.0,26.5
1.0,27.6
1.0,27.9
2.0,28.5
2.0,28.9
1.0,28.0
1.0,27.4
2.0,28.3
1.0,27.8
0.0,27.0
0.0,26.3
0.0,26.2
0.0,26.5
1.0,27.8
1.0,27.8
2.0,28.5
2.0,28.3
2.0,28.3
1.0,27.4
1.0,27.7
1.0,27.5
0.0,27.3
0.0,26.6
0.0,27.1
1.0,27.4
1.0,28.1
1.0,28.1
2.0,29.3
2.0,29.3
2.0,28.8
2.0,28.8
2.0,28.8
2.0,28.2
1.0,27.8
0.0,27.3
1.0,28.0
2.0,28.9
2.0,29.5
2.0,29.2
2.0,29.4
2.0,28.6
1.0,28.1
1.0,27.5
1.0,27.9
1.0,28.0
1.0,27.9
0.0,26.6
0.0,26.6
0.0,27.2
0.0,27.1
2.0,28.3
1.0,28.0
2.0,28.2
1.0,27.8
1.0,27.5
1.0,27.9
0.0,27.2
0.0,27.3
0.0,26.8
0.0,26.3
0.0,26.6
0.0,27.2
1.0,27.5
2.0,28.6
1.0,27.6
1.0,28.1
1.0,27.5
1.0,28.0
1.0,27.8
0.0,27.3
0.0,27.0
0.0,26.5
0.0,27.0
1.0,27.5
1.0,27.7
2.0,28.5
2.0,28.2
2.0,28.4
1.0,28.0
1.0,28.0
1.0,27.6
0.0,27.2
0.0,26.7
0.0,27.0
0.0,27.3
2.0,28.2
2.0,28.6
2.0,28.9
2.0,28.7
2.0,28.4
2.0,28.5
1.0,28.1
2.0,28.7
1.0,27.4
0.0,27.2
0.0,26.7
0.0,27.1
1.0,28.1
1.0,27.9
2.0,29.2
2.0,28.9
1.0,28.1
2.0,28.2
1.0,27.6
1.0,27.6
0.0,27.1
0.0,26.5
0.0,26.9
1.0,27.6
1.0,27.7
2.0,28.9
2.0,28.9
2.0,29.0
0.0,27.3
2.0,28.3
1.0,27.8
1.0,27.8
0.0,27.3
0.0,26.8
0.0,26.6
2.0,28.5
2.0,28.5
2.0,28.7
2.0,28.5
2.0,28.8
1.0,28.0
2.0,28.2
2.0,28.2
1.0,27.6
0.0,27.3
0.0,27.3
0.0,26.5
1.0,27.5
2.0,28.3
1.0,27.6
1.0,28.1
1.0,27.8
2.0,28.4
2.0,28.3
1.0,28.0
2.0,28.3
0.0,27.3
0.0,26.6
0.0,26.5
0.0,27.3
1.0,27.5
1.0,28.1
2.0,28.3
2.0,28.4
1.0,27.7
1.0,27.7
1.0,27.8
1.0,27.8
0.0,26.9
0.0,26.4
0.0,26.8
0.0,26.7
0.0,26.5
1.0,28.1
2.0,28.8
2.0,28.2
1.0,27.8
1.0,27.4
1.0,27.7
1.0,27.6
0.0,27.3
0.0,26.9
0.0,26.8
0.0,27.3
0.0,27.2
2.0,28.5
2.0,28.7
2.0,29.1
2.0,28.3
2.0,28.3
2.0,28.3
2.0,28.2
0.0,27.2
0.0,27.1
1.0,27.5
2.0,28.9
2.0,28.6
2.0,28.6
2.0,29.2
2.0,28.3
1.0,27.7
1.0,27.9
1.0,28.0
2.0,28.3
1.0,27.4
0.0,26.8
0.0,26.3
0.0,27.3
0.0,27.1
1.0,27.9
2.0,28.5
2.0,28.4
2.0,28.7
1.0,27.9
1.0,27.8
0.0,27.3
0.0,27.1
0.0,26.6
0.0,26.7
0.0,27.2
0.0,27.0
1.0,27.6
2.0,28.2
2.0,28.7
1.0,27.7
1.0,27.9
1.0,27.9
1.0,27.7
0.0,27.1
0.0,26.7
0.0,27.1
0.0,26.5
2.0,28.3
2.0,28.2
2.0,28.2
2.0,29.0
1.0,27.8
1.0,27.9
1.0,27.5
1.0,27.7
0.0,27.1
0.0,26.5
0.0,26.2
0.0,27.2
1.0,27.9
2.0,28.2
2.0,28.6
2.0,29.0
2.0,28.7
1.0,27.7
2.0,28.5
2.0,28.4
1.0,27.5
0.0,27.0
0.0,26.9
0.0,27.0
2.0,28.2
2.0,28.6
2.0,28.7
2.0,29.0
2.0,29.1
2.0,28.4
2.0,28.7
2.0,28.7
1.0,28.0
1.0,27.7
2.0,28.3
1.0,27.8
2.0,29.0
2.0,29.4
2.0,29.3
2.0,28.5
2.0,28.4
2.0,28.9
2.0,28.3
2.0,28.3
1.0,27.4
1.0,27.4
0.0,26.9
0.0,26.9
1.0,27.4
1.0,27.8
2.0,28.5
2.0,28.5
2.0,28.3
1.0,28.1
1.0,28.0
1.0,27.9
0.0,27.1
0.0,27.0
0.0,26.1
0.0,27.2
1.0,28.0
2.0,28.5
2.0,28.7
2.0,28.4
2.0,28.5
2.0,28.5
1.0,28.0
1.0,27.9
0.0,27.3
1.0,27.6
1.0,28.0
2.0,28.2
2.0,28.7
2.0,28.6
2.0,29.3
2.0,28.4
2.0,29.0
2.0,29.1
2.0,29.0
1.0,28.1
1.0,28.0
0.0,26.7
1.0,27.7
1.0,27.9
2.0,28.6
2.0,28.9
2.0,28.9
1.0,28.1
