mean_temp,IS_WEEKEND(month),MONTH(month),WEEKDAY(month)
25.9,False,1,4
27.1,False,2,0
27.2,False,3,0
27.0,False,4,3
28.0,True,5,5
28.4,False,6,1
28.2,False,7,3
27.7,True,8,6
27.9,False,9,2
27.4,False,10,4
27.3,False,11,0
26.2,False,12,2
26.5,True,1,5
28.1,False,2,1
28.9,False,3,1
29.4,False,4,4
28.3,True,5,6
28.3,False,6,2
27.6,False,7,4
28.1,False,8,0
27.2,False,9,3
27.6,True,10,5
26.6,False,11,1
25.4,False,12,3
25.5,True,1,6
25.8,False,2,2
26.5,False,3,3
27.3,True,4,6
27.3,False,5,1
27.5,False,6,4
27.2,True,7,6
27.4,False,8,2
26.8,True,9,5
27.4,False,10,0
26.5,False,11,3
26.0,True,12,5
26.6,False,1,1
27.0,False,2,4
27.1,False,3,4
27.5,False,4,0
28.0,False,5,2
28.2,True,6,5
27.0,False,7,0
27.7,False,8,3
26.9,True,9,6
26.7,False,10,1
26.6,False,11,4
26.1,True,12,6
25.7,False,1,2
26.9,True,2,5
26.4,True,3,5
27.4,False,4,1
28.2,False,5,3
27.9,True,6,6
27.9,False,7,1
28.3,False,8,4
26.7,False,9,0
26.9,False,10,2
26.6,True,11,5
26.3,False,12,0
25.5,False,1,3
26.6,True,2,6
27.5,True,3,6
27.9,False,4,2
27.6,False,5,4
28.7,False,6,0
28.1,False,7,2
27.4,True,8,5
27.6,False,9,1
27.9,False,10,3
27.3,True,11,6
26.4,False,12,1
26.8,False,1,4
27.1,False,2,0
27.3,False,3,1
27.8,False,4,4
28.4,True,5,6
28.0,False,6,2
27.3,False,7,4
27.0,False,8,0
27.1,False,9,3
27.5,True,10,5
26.3,False,11,1
26.2,False,12,3
26.5,True,1,6
26.6,False,2,2
26.3,False,3,2
27.0,True,4,5
27.3,False,5,0
27.5,False,6,3
27.7,True,7,5
27.1,False,8,1
26.9,False,9,4
27.1,True,10,6
26.7,False,11,2
26.3,False,12,4
26.2,False,1,0
27.6,False,2,3
28.2,False,3,3
28.5,True,4,6
28.6,False,5,1
28.3,False,6,4
27.5,True,7,6
28.0,False,8,2
27.2,True,9,5
27.5,False,10,0
27.2,False,11,3
26.3,True,12,5
26.7,False,1,1
27.1,False,2,4
27.8,False,3,4
27.7,False,4,0
27.7,False,5,2
28.6,True,6,5
28.5,False,7,0
28.2,False,8,3
27.5,True,9,6
27.5,False,10,1
26.3,False,11,4
25.6,True,12,6
26.6,False,1,2
27.5,True,2,5
28.2,True,3,6
28.4,False,4,2
28.1,False,5,4
28.0,False,6,0
27.3,False,7,2
27.8,True,8,5
27.3,False,9,1
27.4,False,10,3
26.1,True,11,6
25.5,False,12,1
26.2,False,1,4
26.7,False,2,0
26.7,False,3,0
27.6,False,4,3
28.2,True,5,5
28.5,False,6,1
27.9,False,7,3
28.6,True,8,6
27.9,False,9,2
27.5,False,10,4
26.9,False,11,0
26.5,False,12,2
26.9,True,1,5
27.0,False,2,1
26.8,False,3,1
27.9,False,4,4
28.1,True,5,6
28.1,False,6,2
28.4,False,7,4
28.1,False,8,0
28.3,False,9,3
27.9,True,10,5
26.7,False,11,1
26.9,False,12,3
26.8,True,1,6
26.5,False,2,2
27.6,False,3,2
27.9,True,4,5
28.5,False,5,0
28.9,False,6,3
28.0,True,7,5
27.4,False,8,1
28.3,False,9,4
27.8,True,10,6
27.0,False,11,2
26.3,False,12,4
26.2,False,1,0
26.5,False,2,3
27.8,False,3,4
27.8,False,4,0
28.5,False,5,2
28.3,True,6,5
28.3,False,7,0
27.4,False,8,3
27.7,True,9,6
27.5,False,10,1
27.3,False,11,4
26.6,True,12,6
27.1,False,1,2
27.4,True,2,5
28.1,True,3,5
28.1,False,4,1
29.3,False,5,3
29.3,True,6,6
28.8,False,7,1
28.8,False,8,4
28.8,False,9,0
28.2,False,10,2
27.8,True,11,5
27.3,False,12,0
28.0,False,1,3
28.9,True,2,6
29.5,True,3,6
29.2,False,4,2
29.4,False,5,4
28.6,False,6,0
28.1,False,7,2
27.5,True,8,5
27.9,False,9,1
28.0,False,10,3
27.9,True,11,6
26.6,False,12,1
26.6,False,1,4
27.2,False,2,0
27.1,False,3,0
28.3,False,4,3
28.0,True,5,5
28.2,False,6,1
27.8,False,7,3
27.5,True,8,6
27.9,False,9,2
27.2,False,10,4
27.3,False,11,0
26.8,False,12,2
26.3,True,1,5
26.6,False,2,1
27.2,False,3,2
27.5,True,4,5
28.6,False,5,0
27.6,False,6,3
28.1,True,7,5
27.5,False,8,1
28.0,False,9,4
27.8,True,10,6
27.3,False,11,2
27.0,False,12,4
26.5,False,1,0
27.0,False,2,3
27.5,False,3,3
27.7,True,4,6
28.5,False,5,1
28.2,False,6,4
28.4,True,7,6
28.0,False,8,2
28.0,True,9,5
27.6,False,10,0
27.2,False,11,3
26.7,True,12,5
27.0,False,1,1
27.3,False,2,4
28.2,False,3,4
28.6,False,4,0
28.9,False,5,2
28.7,True,6,5
28.4,False,7,0
28.5,False,8,3
28.1,True,9,6
28.7,False,10,1
27.4,False,11,4
27.2,True,12,6
26.7,False,1,2
27.1,True,2,5
28.1,True,3,5
27.9,False,4,1
29.2,False,5,3
28.9,True,6,6
28.1,False,7,1
28.2,False,8,4
27.6,False,9,0
27.6,False,10,2
27.1,True,11,5
26.5,False,12,0
26.9,False,1,3
27.6,True,2,6
27.7,False,3,0
28.9,False,4,3
28.9,True,5,5
29.0,False,6,1
27.3,False,7,3
28.3,True,8,6
27.8,False,9,2
27.8,False,10,4
27.3,False,11,0
26.8,False,12,2
26.6,True,1,5
28.5,False,2,1
28.5,False,3,1
28.7,False,4,4
28.5,True,5,6
28.8,False,6,2
28.0,False,7,4
28.2,False,8,0
28.2,False,9,3
27.6,True,10,5
27.3,False,11,1
27.3,False,12,3
26.5,True,1,6
27.5,False,2,2
28.3,False,3,2
27.6,True,4,5
28.1,False,5,0
27.8,False,6,3
28.4,True,7,5
28.3,False,8,1
28.0,False,9,4
28.3,True,10,6
27.3,False,11,2
26.6,False,12,4
26.5,False,1,0
27.3,False,2,3
27.5,False,3,3
28.1,True,4,6
28.3,False,5,1
28.4,False,6,4
27.7,True,7,6
27.7,False,8,2
27.8,True,9,5
27.8,False,10,0
26.9,False,11,3
26.4,True,12,5
26.8,False,1,1
26.7,False,2,4
26.5,True,3,5
28.1,False,4,1
28.8,False,5,3
28.2,True,6,6
27.8,False,7,1
27.4,False,8,4
27.7,False,9,0
27.6,False,10,2
27.3,True,11,5
26.9,False,12,0
26.8,False,1,3
27.3,True,2,6
27.2,True,3,6
28.5,False,4,2
28.7,False,5,4
29.1,False,6,0
28.3,False,7,2
28.3,True,8,5
28.3,False,9,1
28.2,False,10,3
27.2,True,11,6
27.1,False,12,1
27.5,False,1,4
28.9,False,2,0
28.6,False,3,0
28.6,False,4,3
29.2,True,5,5
28.3,False,6,1
27.7,False,7,3
27.9,True,8,6
28.0,False,9,2
28.3,False,10,4
27.4,False,11,0
26.8,False,12,2
26.3,True,1,5
27.3,False,2,1
27.1,False,3,1
27.9,False,4,4
28.5,True,5,6
28.4,False,6,2
28.7,False,7,4
27.9,False,8,0
27.8,False,9,3
27.3,True,10,5
27.1,False,11,1
26.6,False,12,3
26.7,True,1,6
27.2,False,2,2
27.0,False,3,3
27.6,True,4,6
28.2,False,5,1
28.7,False,6,4
27.7,True,7,6
27.9,False,8,2
27.9,True,9,5
27.7,False,10,0
27.1,False,11,3
26.7,True,12,5
27.1,False,1,1
26.5,False,2,4
28.3,False,3,4
28.2,False,4,0
28.2,False,5,2
29.0,True,6,5
27.8,False,7,0
27.9,False,8,3
27.5,True,9,6
27.7,False,10,1
27.1,False,11,4
26.5,True,12,6
26.2,False,1,2
27.2,True,2,5
27.9,True,3,5
28.2,False,4,1
28.6,False,5,3
29.0,True,6,6
28.7,False,7,1
27.7,False,8,4
28.5,False,9,0
28.4,False,10,2
27.5,True,11,5
27.0,False,12,0
26.9,False,1,3
27.0,True,2,6
28.2,True,3,6
28.6,False,4,2
28.7,False,5,4
29.0,False,6,0
29.1,False,7,2
28.4,True,8,5
28.7,False,9,1
28.7,False,10,3
28.0,True,11,6
27.7,False,12,1
28.3,False,1,4
27.8,False,2,0
29.0,False,3,1
29.4,False,4,4
29.3,True,5,6
28.5,False,6,2
28.4,False,7,4
28.9,False,8,0
28.3,False,9,3
28.3,True,10,5
27.4,False,11,1
27.4,False,12,3
26.9,True,1,6
26.9,False,2,2
27.4,False,3,2
27.8,True,4,5
28.5,False,5,0
28.5,False,6,3
28.3,True,7,5
28.1,False,8,1
28.0,False,9,4
27.9,True,10,6
27.1,False,11,2
27.0,False,12,4
26.1,False,1,0
27.2,False,2,3
28.0,False,3,3
28.5,True,4,6
28.7,False,5,1
28.4,False,6,4
28.5,True,7,6
28.5,False,8,2
28.0,True,9,5
27.9,False,10,0
27.3,False,11,3
27.6,True,12,5
28.0,False,1,1
28.2,False,2,4
28.7,False,3,4
28.6,False,4,0
29.3,False,5,2
28.4,True,6,5
29.0,False,7,0
29.1,False,8,3
29.0,True,9,6
28.1,False,10,1
28.0,False,11,4
26.7,True,12,6
27.7,False,1,2
27.9,True,2,5
28.6,True,3,6
28.9,False,4,2
28.9,False,5,4
28.1,False,6,0
