month_num,count,mean,median,std,min,max,month_name
1,39,26.68205128205128,26.6,0.620217192378603,25.5,28.3,Jan
2,39,27.246153846153845,27.2,0.6492287545299433,25.8,28.9,Feb
3,39,27.705128205128204,27.7,0.7755978060922509,26.3,29.5,Mar
4,39,28.117948717948714,28.1,0.5995049689762892,27.0,29.4,Apr
5,39,28.46410256410256,28.5,0.5228903374449116,27.3,29.4,May
6,39,28.41794871794872,28.4,0.43942054839706357,27.5,29.3,Jun
7,38,28.05263157894737,28.1,0.503896622873565,27.0,29.1,Jul
8,38,27.96578947368421,27.95,0.4917021268083196,27.0,29.1,Aug
9,38,27.818421052631578,27.9,0.5411975026199817,26.7,29.0,Sep
10,38,27.74473684210526,27.7,0.4464256655056813,26.7,28.7,Oct
11,38,27.123684210526317,27.2,0.44687153394690626,26.1,28.0,Nov
12,38,26.626315789473683,26.6,0.5269413068122815,25.4,27.7,Dec
