feature,mean_abs_shap
num__roll_zscore_12,0.37709918954558586
num__roll_zscore_24,0.1748831663905977
num__roll_mean_12,0.11108763542015418
num__stl_trend,0.06402316818478268
num__roll_mean_24,0.04104683745781347
num__roll_mean_6,0.023893909963171468
num__stl_resid,0.02332364236175011
num__lag_1,0.014974200220619668
num__roll_zscore_6,0.014517293294996436
num__stl_seasonal,0.010248032301690368
num__lag_12,0.009485574195071745
num__diff_12,0.007630952621222036
num__y_lag_2,0.007211390993051121
num__y_lag_3,0.006142435668008672
num__y_lag_1_x_month_cos,0.00567473884864965
num__autocorr_lag_1,0.00525603465809064
num__roll_mean_3,0.0050366681150243765
num__roll_max_12,0.004272791239178695
num__y_lag_6,0.004271147113928915
num__autocorr_lag_24,0.003838085579296478
num__y_lag_12_x_month_cos,0.0037482219158568118
num__roll_zscore_3,0.003702607075962115
num__y_lag_9,0.0036167483669379066
num__roll_max_6,0.0035367966982641275
num__roll_min_12,0.0034715851295122947
num__roll_skew_6,0.0032923481275272844
num__roll_min_6,0.003086735218490227
num__roll_std_24,0.0029781364100056533
num__roll_std_12,0.0029341140378272247
num__lag_2,0.002852069205566097
num__y_lag_36,0.002748329478220515
num__is_extreme_12,0.0024594086755442167
num__roll_skew_12,0.002338972451994541
num__diff_1,0.0023062779703155365
num__roll_std_6,0.0022414567903140236
num__roll_min_24,0.0022244822841530135
num__fourier_cos_1,0.0020613196955371203
num__fourier_sin_2,0.0020376434081329376
num__roll_min_3,0.0019456243074378794
num__autocorr_lag_12,0.0019053737972407109
num__cum_mean_past,0.0018970599631462075
num__roll_kurt_6,0.0018555133220071638
num__roll_trend_24,0.0016876235276271226
num__fourier_sin_1,0.0016437207064006342
num__y_lag_1_x_month_sin,0.0016349205458414775
num__roll_kurt_12,0.0016322618342825101
num__roll_max_3,0.0015276825240304185
num__roll_trend_12,0.0015042705791439418
num__roll_max_24,0.0013950546050418508
num__y_lag_24,0.0013628848628808878
num__y_lag_1,0.001357647046701719
num__fourier_sin_3,0.0013262458559839304
num__fourier_cos_3,0.0012965082005727674
num__y_lag_12,0.0012728489463308627
num__lag_3,0.0011231281258805808
num__fourier_cos_2,0.0009590788783311051
num__roll_std_3,0.0008920554944858762
num__y_lag_12_x_month_sin,0.0008433491389158394
num__m_7,0.00031982229121842144
num__m_4,0.0002388429390435533
num__month_cos,9.159566398560003e-06
num__m_2,0.0
num__zscore_12,0.0
num__roll_mean_12_x_year,0.0
num__roll_mean_3_x_year,0.0
num__month_sin,0.0
num__m_1,0.0
num__season,0.0
num__m_3,0.0
num__m_8,0.0
num__quarter,0.0
num__month_num,0.0
num__year,0.0
num__m_12,0.0
num__m_11,0.0
num__m_5,0.0
num__m_10,0.0
num__m_9,0.0
num__m_6,0.0
